id,condition,probe,dc,ac,valence
0,Negative,1,6,1,-1
0,Negative,2,4,3,-1
0,Negative,3,3,3,0
0,Negative,4,4,5,0
1,Negative,1,5,1,-2
1,Negative,2,5,1,-2
1,Negative,3,1,5,1
1,Negative,4,4,5,2
2,Negative,1,1,6,-2
2,Negative,2,1,6,-2
2,Negative,3,1,6,1
2,Negative,4,1,1,2
3,Positive,1,6,1,2
3,Positive,2,6,1,2
3,Positive,3,1,6,0
3,Positive,4,1,6,0
4,Negative,1,5,1,-2
4,Negative,2,5,1,-1
4,Negative,3,4,4,-1
4,Negative,4,3,2,0
5,Positive,1,5,4,2
5,Positive,2,5,2,1
5,Positive,3,2,5,1
5,Positive,4,1,3,2
6,Positive,1,3,4,2
6,Positive,2,4,5,2
6,Positive,3,1,1,0
6,Positive,4,1,1,0
7,Positive,1,6,2,2
7,Positive,2,6,1,2
7,Positive,3,1,3,0
7,Positive,4,1,1,1
8,Positive,1,4,1,2
8,Positive,2,1,5,1
8,Positive,3,1,6,-1
8,Positive,4,3,1,1
9,Negative,1,4,2,-1
9,Negative,2,5,1,-1
9,Negative,3,1,1,0
9,Negative,4,1,1,0
10,Positive,1,5,3,2
10,Positive,2,5,5,2
10,Positive,3,2,5,2
10,Positive,4,3,1,0
11,Positive,1,6,1,1
11,Positive,2,6,1,0
11,Positive,3,2,3,-1
11,Positive,4,1,1,-1
12,Negative,1,2,3,-2
12,Negative,2,3,3,-2
12,Negative,3,4,3,2
12,Negative,4,4,3,2
13,Positive,1,6,1,2
13,Positive,2,5,1,2
13,Positive,3,4,1,0
13,Positive,4,5,1,1
14,Negative,1,2,6,-2
14,Negative,2,1,6,-2
14,Negative,3,2,2,0
14,Negative,4,1,2,0
15,Negative,1,6,1,1
15,Negative,2,1,4,0
15,Negative,3,6,1,0
15,Negative,4,3,1,1
16,Negative,1,6,6,-2
16,Negative,2,6,6,-2
16,Negative,3,1,1,0
16,Negative,4,1,1,0
17,Positive,1,6,1,2
17,Positive,2,6,1,2
17,Positive,3,1,5,1
17,Positive,4,1,6,1
18,Negative,1,6,1,-1
18,Negative,2,6,1,-1
18,Negative,3,6,1,-2
18,Negative,4,6,1,-2
19,Positive,1,6,1,1
19,Positive,2,4,1,1
19,Positive,3,1,1,1
19,Positive,4,1,3,1
20,Positive,1,3,5,2
20,Positive,2,3,6,2
20,Positive,3,1,6,0
20,Positive,4,1,1,0
21,Positive,1,4,5,2
21,Positive,2,6,4,2
21,Positive,3,3,5,1
21,Positive,4,6,5,0
22,Positive,1,1,6,2
22,Positive,2,1,6,2
22,Positive,3,1,1,2
22,Positive,4,1,1,2
23,Positive,1,6,1,2
23,Positive,2,4,2,2
23,Positive,3,4,2,2
23,Positive,4,1,3,0
24,Positive,1,6,1,2
24,Positive,2,6,3,2
24,Positive,3,6,2,2
24,Positive,4,2,2,1
25,Negative,1,6,6,-2
25,Negative,2,6,6,-2
25,Negative,3,6,6,-2
25,Negative,4,5,6,-1
26,Negative,1,5,3,-2
26,Negative,2,6,2,-2
26,Negative,3,2,3,-1
26,Negative,4,1,2,-1
27,Positive,1,6,1,2
27,Positive,2,6,1,2
27,Positive,3,6,1,2
27,Positive,4,3,1,0
28,Negative,1,1,4,-2
28,Negative,2,5,1,-2
28,Negative,3,1,1,0
28,Negative,4,1,1,1
29,Negative,1,1,6,-2
29,Negative,2,4,4,-2
29,Negative,3,1,5,-2
29,Negative,4,1,3,0
30,Negative,1,3,6,-2
30,Negative,2,1,6,-2
30,Negative,3,2,4,-2
30,Negative,4,2,5,-2
31,Negative,1,5,2,-2
31,Negative,2,5,4,-2
31,Negative,3,5,2,-2
31,Negative,4,5,5,0
32,Negative,1,6,1,-1
32,Negative,2,6,6,-2
32,Negative,3,1,2,0
32,Negative,4,1,1,0
33,Positive,1,4,2,2
33,Positive,2,5,2,2
33,Positive,3,1,2,0
33,Positive,4,1,2,0
34,Negative,1,1,2,0
34,Negative,2,2,1,1
34,Negative,3,1,1,2
34,Negative,4,1,2,2
35,Positive,1,3,1,1
35,Positive,2,4,1,1
35,Positive,3,2,1,0
35,Positive,4,3,1,1
36,Negative,1,6,1,-1
36,Negative,2,6,1,-2
36,Negative,3,6,1,0
36,Negative,4,6,1,0
37,Positive,1,4,3,2
37,Positive,2,5,4,2
37,Positive,3,5,3,1
37,Positive,4,5,3,1
38,Positive,1,6,1,2
38,Positive,2,6,1,2
38,Positive,3,6,1,2
38,Positive,4,5,1,2
39,Positive,1,5,1,2
39,Positive,2,6,1,2
39,Positive,3,6,1,2
39,Positive,4,6,1,2
40,Positive,1,6,1,2
40,Positive,2,6,1,2
40,Positive,3,5,2,2
40,Positive,4,3,2,2
41,Negative,1,6,1,-2
41,Negative,2,6,1,-2
41,Negative,3,1,1,0
41,Negative,4,1,1,0
42,Positive,1,5,5,2
42,Positive,2,5,5,2
42,Positive,3,2,2,0
42,Positive,4,2,2,0
43,Negative,1,3,1,-2
43,Negative,2,5,1,-2
43,Negative,3,1,1,0
43,Negative,4,1,1,0
44,Positive,1,5,3,2
44,Positive,2,3,3,2
44,Positive,3,2,2,1
44,Positive,4,2,3,1
45,Negative,1,6,1,-1
45,Negative,2,6,1,-2
45,Negative,3,6,3,-1
45,Negative,4,3,1,0
46,Negative,1,6,1,-2
46,Negative,2,6,1,-2
46,Negative,3,1,6,-2
46,Negative,4,1,6,-2
47,Negative,1,5,1,-2
47,Negative,2,6,1,-2
47,Negative,3,1,3,1
47,Negative,4,1,3,1
48,Negative,1,5,3,-1
48,Negative,2,4,5,-2
48,Negative,3,4,5,-2
48,Negative,4,2,3,-1
49,Negative,1,6,1,-2
49,Negative,2,6,1,-2
49,Negative,3,6,1,-2
49,Negative,4,2,1,0
50,Positive,1,6,1,2
50,Positive,2,4,1,1
50,Positive,3,1,1,0
50,Positive,4,1,1,0
51,Negative,1,1,6,-2
51,Negative,2,1,6,-2
51,Negative,3,1,1,0
51,Negative,4,1,3,-1
52,Positive,1,4,3,2
52,Positive,2,4,4,2
52,Positive,3,2,3,0
52,Positive,4,1,2,0
53,Negative,1,6,1,-2
53,Negative,2,6,1,-2
53,Negative,3,1,6,-1
53,Negative,4,5,2,-1
54,Positive,1,5,2,2
54,Positive,2,6,3,2
54,Positive,3,2,2,2
54,Positive,4,1,1,0
55,Positive,1,6,4,2
55,Positive,2,6,5,2
55,Positive,3,1,1,2
55,Positive,4,1,1,0
56,Negative,1,2,6,-2
56,Negative,2,1,5,-2
56,Negative,3,1,5,-1
56,Negative,4,3,3,0
57,Positive,1,6,1,2
57,Positive,2,6,1,2
57,Positive,3,1,1,2
57,Positive,4,1,1,1
58,Positive,1,6,6,2
58,Positive,2,6,5,2
58,Positive,3,1,2,2
58,Positive,4,1,3,1
59,Negative,1,6,6,-2
59,Negative,2,6,6,-2
59,Negative,3,6,6,-2
59,Negative,4,6,6,-2
60,Positive,1,1,2,2
60,Positive,2,4,2,2
60,Positive,3,5,1,1
60,Positive,4,6,1,0
61,Negative,1,1,1,-2
61,Negative,2,2,1,-2
61,Negative,3,2,1,-2
61,Negative,4,3,3,-2
62,Positive,1,3,6,2
62,Positive,2,1,6,2
62,Positive,3,2,2,0
